Model_Name,Year,Km_Driven,Fuel_Type,Transmission,Ownership,Engine_CC,Seats,resale_price
Amaze 1.2 VX i-VTEC,2017,87150,Petrol,Manual,1,1198,5,505000
Swift DZire VDI,2014,75000,Diesel,Manual,2,1248,5,450000
i10 Magna 1.2 Kappa2,2011,67000,Petrol,Manual,1,1197,5,220000
Glanza G,2019,37500,Petrol,Manual,1,1197,5,799000
Innova 2.4 VX 7 STR [2016-2020],2018,69000,Diesel,Manual,1,2393,7,1950000
Ciaz ZXi,2017,73315,Petrol,Manual,1,1373,5,675000
CLA 200 Petrol Sport,2015,47000,Petrol,Automatic,2,1991,5,1898999
X1 xDrive20d M Sport,2017,75000,Diesel,Automatic,2,1995,5,2650000
Octavia 1.8 TSI Style Plus AT [2017],2017,56000,Petrol,Automatic,1,1798,5,1390000
Terrano XL (D),2015,85000,Diesel,Manual,1,1461,5,575000
Elite i20 Sportz 1.2,2017,20281,Petrol,Manual,1,1197,5,591000
Kwid 1.0 RXT [2016-2019],2018,22541,Petrol,Manual,1,999,5,459999
Ciaz Alpha Hybrid 1.5 AT [2018-2020],2019,30672,Petrol,Automatic,1,1462,5,1075000
Harrier XZ [2019-2020],2019,20856,Diesel,Manual,1,1956,5,1695000
Polo GT TSI,2017,41417,Petrol,Automatic,1,1197,5,944999
Celerio ZXi AMT [2019-2020],2016,11471,Petrol,Automatic,1,998,5,569000
Alto 800 LXi (O),2019,3583,Petrol,Manual,1,796,5,449000
Baleno Alpha Automatic,2018,21365,Petrol,Automatic,1,1197,5,894999
Wagon R ZXi 1.2 AMT,2020,30777,Petrol,Automatic,1,1197,5,699000
Creta 1.6 E Petrol,2016,60125,Petrol,Manual,1,1591,5,740000
S-Presso VXi AMT,2020,2169,Petrol,Automatic,1,998,5,470000
Vento Comfortline Petrol AT,2015,60240,Petrol,Automatic,1,1197,5,765000
Santro Sportz AMT [2018-2020],2018,13772,Petrol,Automatic,1,1086,5,589000
Venue SX 1.0 (O) Petrol [2019-2020],2019,27464,Petrol,Manual,1,998,5,999000
Alto LXi CNG,2019,47377,CNG,Manual,1,998,4,370000
Ritz Zxi BS-IV,2013,23086,Petrol,Manual,1,1197,5,325000
Creta 1.6 SX Plus Petrol,2019,36313,Petrol,Manual,1,1591,5,1175000
Brio V MT,2014,39276,Petrol,Manual,1,1198,5,351000
Elite i20 Asta 1.2,2015,47752,Petrol,Manual,1,1197,5,551000
WR-V VX MT Petrol,2018,27963,Petrol,Manual,1,1199,5,819999
Venue SX 1.0 Turbo iMT,2020,24013,Petrol,Manual,1,998,5,990000
Creta 1.6 SX Plus AT,2016,66000,Diesel,Automatic,1,1582,5,925000
Ecosport Titanium+ 1.0L EcoBoost,2015,28000,Petrol,Manual,1,999,5,535000
CR-V 2.4 AT,2013,67000,Petrol,Automatic,1,,,860000
Santro GL (CNG),2009,72000,CNG,Manual,2,1086,5,145000
Tiago Revotron XE [2016-2019],2018,27069,Petrol,Manual,1,1199,5,409000
Tigor Revotorq XT,2018,43000,Diesel,Manual,1,1047,5,490000
Innova 2.4 G 8 STR [2016-2017],2019,71000,Diesel,Manual,1,2393,8,1900000
GLC 220 d Progressive,2017,45600,Diesel,Automatic,2,2143,5,3850000
Creta SX 1.6 CRDi (O),2018,60000,Diesel,Manual,1,1582,5,1125000
M-Class ML 250 CDI,2014,105101,Diesel,Automatic,1,2143,5,2300000
Corolla Altis VL AT Petrol,2016,45000,Petrol,Automatic,1,1798,5,1095000
A4 2.0 TDI (177bhp) Premium Plus,2013,66000,Diesel,Automatic,1,1968,5,1575000
SLK-Class SLK 200 K,2010,34105,Petrol,Automatic,1,1796,2,2400000
Elite i20 Asta 1.2,2015,68397,Petrol,Manual,1,1197,5,525000
Thar CRDe 4x4 AC,2015,65000,Diesel,Manual,2,2498,6,625000
Baleno Delta 1.2,2019,27469,Petrol,Manual,1,1197,5,605000
Celerio VXi AMT,2016,41058,Petrol,Automatic,1,998,5,412000
Ciaz VDi SHVS,2016,51330,Diesel,Manual,1,1248,5,625000
Ciaz VXi,2015,45969,Petrol,Manual,1,1373,5,511000
Creta SX Plus 1.6 AT CRDI,2017,66602,Diesel,Automatic,1,1582,5,1150000
Creta SX Plus 1.6  Petrol,2016,57983,Petrol,Manual,1,1591,5,885000
Kwid 1.0 RXT AMT Opt,2019,11183,Petrol,Automatic,1,999,5,470000
Hector Sharp 2.0 Diesel [2019-2020],2019,46301,Diesel,Manual,1,1956,5,1611000
Tiago Revotron XZA [2017-2019],2017,34867,Petrol,Automatic,2,1199,5,475000
Innova 2.5 GX BS IV 7 STR,2015,43634,Diesel,Manual,1,2494,7,865000
X3 xDrive 20d Luxury Line [2018-2020],2018,9512,Diesel,Automatic,1,1995,5,3800000
Compass Limited Plus 2.0 Diesel 4x4 AT,2020,11293,Diesel,Automatic,1,1956,5,2475000
Scorpio SLE BS-IV,2014,78000,Diesel,Manual,2,2179,8,400000
Brio S MT,2016,50374,Petrol,Manual,1,1198,5,440000
3-Series 320i Luxury Line,2017,15900,Petrol,Automatic,1,1998,5,2800000
